,,,,,,,,,,,,,role,,top_place,,,Modularity Class
392,392,Pinto,"{'Ficcion': 1, 'Poesia': 1}","{'1610-11-19': 1, '1611-01-14': 1, '1617-01-17': 1}",Ficcion,Persona,1612,{u'Lisboa': 3},,,"{u'Tasa': 1, u'Privilegio/Licencia': 2}",Poesia,signatory,{'True': 1},Lisboa,,,1
116,116,Luis Machado de Bouvea,"{'Teatro': 1, 'Ficcion': 2, 'Poesia': 1}","{'1616-09-10': 1, '1617-01-21': 1, '1610-11-19': 1, '1612-01-30': 1, '1617-01-17': 1, '1611-01-14': 1}",Ficcion,Persona,1613,"{u'Lisboa': 5, '': 1}",,,"{u'Tasa': 2, u'Privilegio/Licencia': 4}",Teatro,signatory,{'True': 1},Lisboa,,,1
391,391,Bertolameu da Fonseca,"{'Teatro': 1, 'Ficcion': 1, 'Poesia': 2}","{'1616-08-22': 1, '1609-12-16': 1, '1609-09-23': 1, '1612-01-27': 1, '1618-07-24': 1}",Poesia,Persona,1612,{u'Lisboa': 5},"{u'Consejo de Inquisicion': 1, u'Consejo de Portugal': 1}",,{u'Privilegio/Licencia': 5},Teatro,signatory,{'True': 1},Lisboa,,,3
250,250,Antonio dos Anjos,{'Poesia': 1},{'1618-07-19': 1},Poesia,Persona,1618,{u'Lisboa': 1},{u'Consejo de Inquisicion': 1},,{u'Aprobacion': 1},,signatory,{'True': 1},Lisboa,,,3
115,115,Gama,{'Ficcion': 2},"{'1616-09-10': 1, '1617-01-21': 1}",Ficcion,Persona,1616,"{'': 1, u'Lisboa': 1}",,Lisboa,"{u'Tasa': 1, u'Privilegio/Licencia': 1}",,signatory,{'True': 1},,,,1
118,118,Damiao Viegas,{'Ficcion': 2},"{'1616-08-22': 1, '1616-10-26': 1}",Ficcion,Persona,1616,{'': 2},,,{u'Privilegio/Licencia': 2},,signatory,{'True': 1},,,,1
120,120,Antonio Diaz Cardoso,"{'Teatro': 1, 'Ficcion': 2}","{'1616-08-22': 1, '1616-10-26': 1, '1612-01-27': 1}",Ficcion,Persona,1614,"{u'Lisboa': 2, '': 1}",{u'Consejo de Portugal': 1},,{u'Privilegio/Licencia': 3},Teatro,signatory,{'True': 1},Lisboa,,,1
117,117,"Manuel Coelho, Fray",{'Ficcion': 3},"{'': 1, '1616-10-26': 1, '1616-08-22': 1}",Ficcion,Persona,1616,"{'': 2, u'Lisboa': 1}",{u'Consejo de Portugal': 1},Lisboa,"{u'Aprobacion': 1, u'Privilegio/Licencia': 2}",,signatory,{'True': 1},,,,1
252,252,Juan Bermudez y Alfaro,{'Poesia': 1},{'1618-07-24': 1},Poesia,Persona,1618,{u'Lisboa': 1},,,{u'Obra': 1},,author,{'True': 1},Lisboa,,{'true': 1},3
251,251,Diego Bermudez,{'Poesia': 1},{'': 1},Poesia,Persona,,{'': 1},,,{'dedicatory': 1},,patron,{'True': 1},,{'Hermano de Juan Bermudez': 1},,3
366,366,"Diego de Mardones, Obispo de Cordoba",{'Historia': 1},{'1613-03-06': 1},Historia,Persona,1613,{u'Cordoba': 1},{u'Diocesis de Cordoba': 1},,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Cordoba,,,2
256,256,Francisco de Castro,{'Historia': 1},{'1613-01-26': 1},Historia,Persona,1613,{u'Cordoba': 1},{u'Compania de Jesus': 1},,{u'Aprobacion': 1},,signatory,{'True': 1},Cordoba,,,2
367,367,Barrera,{'Historia': 1},{'1617-01-01': 1},Historia,Persona,1617,{u'Cordoba': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Cordoba,,,2
102,102,Pedro de Valencia,"{'Historia': 2, 'Ficcion': 1}","{'1613-05-05': 1, '1614-01-06': 1, '1617-06-10': 1}",Historia,Persona,1614,{u'Madrid': 3},{u'Consejo de Castilla': 1},,{u'Aprobacion': 3},Ficcion,signatory,{'True': 1},Madrid,{'Coronista del Rey': 1},,2
285,285,Sousa,{'Historia': 1},{'1605-02-21': 1},Historia,Persona,1605,{u'Lisboa': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Lisboa,,,0
286,286,"Teodosio II, Duque de Braganza y Barcelos",{'Historia': 1},{'': 1},Historia,Persona,,{'': 1},"{u'Ducado de Braganza': 1, u'Ducado de Barcelos': 1}",,{'dedicatory': 1},,patron,{'True': 1},,,,0
338,338,Luis dos Anjos,"{'Historia': 2, 'Ficcion': 1}","{'1616-08-22': 1, '1604-11-26': 1, '1604-11-16': 1}",Historia,Persona,1608,{u'Lisboa': 3},"{u'Consejo de Inquisicion': 1, u'Convento de Sao Francisco': 1}",,"{u'Aprobacion': 2, u'Privilegio/Licencia': 1}",Ficcion,signatory,{'True': 1},Lisboa,,,0
336,336,El Inca Garcilaso de la Vega,{'Historia': 3},"{'1609-09-02': 1, '1605-03-08': 1, '1617-01-01': 1}",Historia,Persona,1610,"{u'Lisboa': 2, u'Cordoba': 1}",,Cordoba,{u'Obra': 3},,author,{'True': 1},Lisboa,,{'true': 3},2
20,20,Costa,"{'Historia': 1, 'Ficcion': 1}","{'1605-03-27': 1, '1605-03-25': 1}",Historia,Persona,1605,{u'Lisboa': 2},{u'Consejo de Inquisicion': 1},,{u'Privilegio/Licencia': 2},Ficcion,signatory,{'True': 1},Lisboa,{'Nombre que aparece en publicaciones de Lisboa': 1},,0
92,92,Gonzalo Pirez Carvalho,{'Teatro': 1},{'': 1},Teatro,Persona,,{'': 1},,,{'dedicatory': 1},,patron,{'True': 1},,,,3
207,207,Jorge Rodriguez,"{'Teatro': 1, 'Ficcion': 4, 'Poesia': 1}","{'1605-03-01': 1, '1603-02-26': 1, '1605-01-01': 1, '1618-07-24': 1, '1617-01-17': 1, '1600-01-18': 1}",Ficcion,Persona,1608,{u'Lisboa': 6},,,{u'Impresion': 6},Teatro,printer/editor,{'True': 1},Lisboa,,,3
87,87,Estevao Lopez,{'Teatro': 1},{'1605-01-01': 1},Teatro,Persona,1605,{u'Lisboa': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Lisboa,,,3
206,206,"Antonio Freire, Fray","{'Teatro': 1, 'Ficcion': 3, 'Poesia': 1}","{'1605-03-27': 1, '1609-12-15': 1, '1605-02-26': 1, '1604-09-07': 1, '1604-08-26': 1}",Ficcion,Persona,1605,{u'Lisboa': 5},{u'Consejo de Inquisicion': 1},,{u'Aprobacion': 5},Teatro,signatory,{'True': 1},Lisboa,,,0
