,,,,,,,,,,,,,role,,top_place,,,Modularity Class
153,153,Sebastian de Cormellas,"{'Teatro': 2, 'Ficcion': 5, 'Poesia': 1}","{'1618-01-12': 1, '1618-01-01': 1, '1605-01-01': 1, '1616-01-01': 1, '1611-01-01': 1, '1602-01-01': 1, '1600-01-01': 1, '1616-08-01': 1}",Ficcion,Persona,1610,"{u'Madrid': 1, u'Barcelona': 8}",,Madrid,{u'Impresion': 8},Teatro,printer/editor,{'True': 1},Barcelona,,,0
247,247,"Alfonso Remon, Fray",{'Poesia': 1},{'1612-02-18': 1},Poesia,Persona,1612,{u'Madrid': 1},,,{u'Aprobacion': 1},,signatory,{'True': 1},Madrid,,,3
325,325,Geronimo Nunez de Leon,"{'Ficcion': 4, 'Poesia': 1}","{'1612-11-06': 1, '1612-05-19': 1, '1617-11-16': 1, '1615-03-23': 1, '1616-12-23': 1}",Ficcion,Persona,1614,"{u'Madrid': 4, u'Aranjuez': 1}",{u'Consejo de Castilla': 1},Aranjuez,"{u'Tasa': 4, u'Privilegio/Licencia': 1}",Poesia,signatory,{'True': 1},Madrid,{'Escribano de Camara': 1},,3
13,13,"Bernardo de Sandoval y Rojas, Cardenal, Arzobispo de Toledo","{'Ficcion': 2, 'Poesia': 3}",{'': 3},Poesia,Persona,,{'': 3},"{u'Consejo de Estado': 1, u'Consejo de Inquisicion': 1, u'Archidiocesis de Toledo': 1}",,{'dedicatory': 3},Ficcion,patron,{'True': 1},,"{'Inquisidor general, y del Consejo de Estado ': 1}",,1
212,212,Juan de la Cuesta,"{'': 1, 'Teatro': 1, 'Ficcion': 11, 'Poesia': 2}","{'': 1, '1607-07-17': 1, '1612-02-09': 1, '1609-02-10': 1, '1605-02-09': 1, '1618-01-01': 1, '1605-01-01': 1, '1615-11-05': 1, '1612-11-06': 1, '1617-08-18': 1, '1618-06-25': 1, '1617-09-24': 1, '1613-08-12': 1, '1617-01-01': 1, '1617-06-25': 1, '1608-06-25': 1, '1605-04-01': 1}",Ficcion,Persona,1612,"{'': 1, u'Madrid': 16}",,,"{u'Privilegio/Licencia': 1, u'Impresion': 15, u'Otro documento': 1}",Poesia,printer/editor,{'True': 1},Madrid,,,3
11,11,Miguel Martinez,"{'Teatro': 1, 'Ficcion': 2}","{'1618-01-01': 1, '1613-12-23': 1, '1617-11-07': 1, '1614-05-17': 1, '1618-06-25': 1}",Ficcion,Persona,1616,{u'Madrid': 5},,,"{u'Privilegio/Licencia': 2, u'Impresion': 3}",Teatro,printer/editor,{'True': 1},Madrid,,,1
15,15,Diego Gonzalo de Villarroel,{'Ficcion': 2},{'1617-12-12': 1},Ficcion,Persona,1617,{u'Madrid': 1},{u'Consejo de Castilla': 1},,{u'Tasa': 1},,signatory,{'True': 1},Madrid,{'Escribano de Camara': 1},,1
330,330,Juan de Villaroel,{'Ficcion': 1},{'1617-01-01': 1},Ficcion,Persona,1617,{u'Madrid': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Madrid,,,3
26,26,Fernando de Ulloa,{'Poesia': 1},{'': 1},Poesia,Persona,,{'': 1},,,{'dedicatory': 1},,patron,{'True': 1},,{'Veinticuatro de Sevilla': 1},,1
25,25,Andres de Claramont,{'Poesia': 1},"{'1613-01-01': 1, '1611-04-30': 1}",Poesia,Persona,1612,"{u'Sevilla': 1, u'Aranjuez': 1}",,Aranjuez,"{u'Obra': 1, u'Privilegio/Licencia': 1}",,author,{'True': 1},Sevilla,{'Natural de Murcia': 1},{'true': 1},1
402,402,Luis Pujol,{'Ficcion': 1},{'1618-01-12': 1},Ficcion,Persona,1618,{u'Barcelona': 1},{u'Compania de Jesus': 1},,{u'Aprobacion': 1},,signatory,{'True': 1},Barcelona,,,1
403,403,"Hortensio Felix Paravicino, Fray","{'Ficcion': 1, 'Poesia': 3}","{'': 2, '1617-11-16': 1, '1610-05-23': 1}",Poesia,Persona,1613,"{'': 1, u'Madrid': 3}",{u'Convento de la Santisima Trinidad': 1},,{u'Aprobacion': 4},Ficcion,signatory,{'True': 1},Madrid,,,1
14,14,Simon Ángel Ufay,"{'Teatro': 1, 'Ficcion': 1}",{'1617-10-19': 2},Teatro,Persona,1617,"{'': 1, u'Madrid': 1}",{u'Consejo de Castilla': 1},Madrid,"{u'Privilegio/Licencia': 1, u'Otro documento': 1}",Ficcion,signatory,{'True': 1},,,,1
434,434,Vicente Espinel,"{'Teatro': 2, 'Ficcion': 2, 'Poesia': 2}","{'1612-03-27': 1, '1614-10-15': 1, '1609-01-05': 1, '1618-01-01': 1, '1618-01-12': 1}",Teatro,Persona,1614,"{u'Madrid': 4, u'Barcelona': 1}",,Barcelona,"{u'Aprobacion': 3, u'Obra': 1}",Ficcion,author,{'True': 1},Madrid,,{'true': 1},1
229,229,Rodrigo de Tapia,{'Poesia': 1},,Poesia,Persona,,,{u'Orden de Santiago': 1},,,,,{'True': 1},,"{'Caballero del habito de Santiago, hijo de Pedro de Tapia': 1}",,2
263,263,Viuda de Alonso Martin,"{'Ficcion': 2, 'Poesia': 4}","{'1614-11-17': 1, '1614-09-24': 1, '1615-10-19': 1, '1616-01-01': 1, '1614-05-17': 1, '1618-03-06': 1}",Poesia,Persona,1615,{u'Madrid': 6},,,{u'Impresion': 6},Ficcion,printer/editor,{'True': 1},Madrid,,,2
214,214,Hernando de Vallejo,"{'Teatro': 1, 'Ficcion': 5, 'Poesia': 3}","{'1614-11-17': 1, '1615-10-21': 1, '1616-09-12': 1, '1618-06-25': 1, '1618-01-29': 1, '1617-11-07': 1, '1617-08-18': 1, '1613-08-12': 1, '1618-03-06': 1, '1618-04-09': 1}",Ficcion,Persona,1616,{u'Madrid': 10},{u'Consejo de Castilla': 1},,"{u'Tasa': 8, u'Privilegio/Licencia': 2}",Poesia,signatory,{'True': 1},Madrid,{'Escribano de Camara': 1},,3
431,431,Alonso Geronimo de Salas Barbadillo,"{'Ficcion': 4, 'Poesia': 1}","{'1613-07-31': 1, '1609-04-01': 1, '1609-02-08': 1}",Ficcion,Persona,1610,{u'Madrid': 3},{u'Consejo de Aragon': 1},,"{u'Aprobacion': 1, u'Obra': 1, u'Privilegio/Licencia': 1}",Poesia,author,{'True': 1},Madrid,,{'true': 1},3
290,290,Matias Clavijo,"{'Historia': 1, 'Poesia': 1}","{'1613-01-01': 1, '1615-01-01': 1}",Historia,Persona,1614,{u'Sevilla': 2},,,{u'Impresion': 2},Poesia,printer/editor,{'True': 1},Sevilla,,,1
368,368,Alonso de Ledesma,{'Poesia': 6},"{'1609-12-01': 1, '1616-06-06': 1, '1608-12-16': 1, '1607-02-23': 1, '1615-10-19': 1, '1616-01-01': 1, '1616-08-01': 1, '1611-04-14': 1, '1609-10-04': 1, '1615-06-13': 1}",Poesia,Persona,1612,"{'': 1, u'Madrid': 3, u'Barcelona': 2, u'Valladolid': 1, u'Segovia': 2, u'Lerida': 1}",,Segovia,"{u'Obra': 3, u'Privilegio/Licencia': 2, u'Carta': 2}",,author,{'True': 1},Madrid,{'Natural de Segovia': 1},{'true': 3},2
370,370,Onofre de Requesens,"{'Ficcion': 1, 'Poesia': 1}","{'1618-04-19': 1, '1616-08-01': 1}",Ficcion,Persona,1617,{u'Barcelona': 2},"{u'Convento de Santa Caterina': 1, u'Orden de los predicadores': 1, u'Diocesis de Barcelona': 1}",,{u'Aprobacion': 2},Poesia,signatory,{'True': 1},Barcelona,{'Prior del Convento de Santa Caterina': 1},,2
375,375,Juan de Jerez,"{'Teatro': 2, 'Poesia': 2}","{'1615-06-05': 1, '1615-10-19': 1, '1615-06-13': 1}",Teatro,Persona,1615,"{u'Madrid': 2, u'Valladolid': 1}",{u'Consejo de Castilla': 1},Valladolid,"{u'Tasa': 2, u'Privilegio/Licencia': 1}",Poesia,signatory,{'True': 1},Madrid,{'Escribano de Camara': 1},,2
243,243,"Juan Andres Hurtado de Mendoza, V marques de Canete",{'Poesia': 1},{'': 1},Poesia,Persona,,{'': 1},{u'Marquesado de Canete': 1},,{'dedicatory': 1},,patron,{'True': 1},,"{'Montero mayo del rey nuestro senor, y guarda mayor de la ciudad de Cuenca': 1}",,3
441,441,Cristobal Suarez de Figueroa,"{'Ficcion': 2, 'Poesia': 1}","{'1617-08-09': 1, '1612-05-19': 1, '1617-11-16': 1, '1612-11-06': 1, '1618-04-19': 1}",Ficcion,Persona,1615,"{u'Madrid': 3, u'Aranjuez': 1, u'Barcelona': 1}",,Barcelona,"{u'Obra': 2, u'Privilegio/Licencia': 2}",Poesia,author,{'True': 1},Madrid,,{'true': 2},3
29,29,Esteban Liberos,{'Poesia': 1},{'1618-01-01': 1},Poesia,Persona,1618,{u'Barcelona': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Barcelona,,,1
331,331,Jose de Valdivielso,"{'Teatro': 2, 'Ficcion': 5, 'Poesia': 8}","{'1615-11-21': 1, '1614-09-20': 1, '1618-01-01': 1, '1615-03-17': 1, '1616-09-12': 1, '1616-01-01': 1, '1612-10-11': 1, '1616-09-09': 1, '1615-06-05': 1, '1615-06-03': 1, '1612-06-03': 1}",Poesia,Persona,1614,"{u'Alcala': 1, u'Madrid': 7, u'Barcelona': 2, u'Toledo': 1}",{u'Consejo de Castilla': 1},Barcelona,"{u'Aprobacion': 4, u'Obra': 3, u'Privilegio/Licencia': 2}",Ficcion,author,{'True': 1},Madrid,{'Capellan del cardenal de Sandoval': 1},{'true': 3},2
109,109,Juan Bautista,"{'Ficcion': 4, 'Poesia': 1}","{'1612-05-10': 1, '1612-07-09': 1}",Ficcion,Persona,1612,{u'Madrid': 2},{u'Convento de la Santisima Trinidad': 1},,{u'Aprobacion': 2},Poesia,signatory,{'True': 1},Madrid,,,3
100,100,"Gutierre de Cetina, Vicario General","{'Teatro': 8, 'Ficcion': 14, 'Poesia': 3}","{'': 1, '1611-03-29': 1, '1614-12-11': 1, '1614-09-16': 1, '1617-07-24': 1, '1615-11-05': 1, '1616-12-19': 1, '1612-12-30': 1, '1614-10-03': 1, '1617-09-24': 1, '1609-08-01': 1, '1612-07-09': 1, '1617-05-16': 1}",Ficcion,Persona,1614,"{'': 1, u'Madrid': 12}",{u'Consejo de Castilla': 1},,{u'Aprobacion': 13},Teatro,signatory,{'True': 1},Madrid,,,3
257,257,Jorge de Tovar,"{'Historia': 2, 'Teatro': 1, 'Ficcion': 3, 'Poesia': 6}","{'1614-11-15': 1, '1613-05-18': 1, '1609-03-15': 1, '1612-11-22': 1, '1609-02-08': 1, '1611-12-02': 1, '1614-01-21': 1, '1614-06-30': 1, '1614-10-18': 1, '1611-04-30': 1, '1612-06-03': 1}",Poesia,Persona,1612,"{u'Madrid': 10, u'Aranjuez': 1}",{u'Consejo de Castilla': 1},Aranjuez,{u'Privilegio/Licencia': 11},Ficcion,signatory,{'True': 1},Madrid,,,3
199,199,Doctor Galipienzo,{'Poesia': 1},{'1616-06-06': 1},Poesia,Persona,1616,{u'Lerida': 1},{u'Diocesis de Lerida': 1},,{u'Aprobacion': 1},,signatory,{'True': 1},Lerida,{'Catedratico de prima de Lerida': 1},,2
12,12,Pedro de Tapia,{'Poesia': 4},{'': 1},Poesia,Persona,,{'': 1},{u'Consejo de Inquisicion': 1},,{'dedicatory': 1},,patron,{'True': 1},,{'Oidor de Consejo real y consultor del santo oficio de la Inquisiscion Suprema': 1},,2
113,113,Antonio Campello,{'Ficcion': 2},{'1605-02-09': 1},Ficcion,Persona,1605,{u'Valladolid': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Valladolid,,,3
137,137,Juan Gallo de Andrada,"{'Teatro': 1, 'Ficcion': 3, 'Poesia': 2}","{'1609-04-01': 1, '1604-12-04': 1, '1614-09-24': 1, '1613-06-12': 1}",Ficcion,Persona,1610,"{u'Madrid': 3, u'Valladolid': 1}",{u'Consejo de Castilla': 1},Valladolid,{u'Tasa': 4},Poesia,signatory,{'True': 1},Madrid,{'Escribano de la Camara': 1},,3
219,219,Jaime Cendrat,{'Poesia': 1},{'1607-02-23': 1},Poesia,Persona,1607,{u'Barcelona': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Barcelona,,,2
369,369,Tomas de Olivon,{'Poesia': 1},{'1607-02-20': 1},Poesia,Persona,1607,{u'Barcelona': 1},{u'Convento de Santa Caterina': 1},,{u'Aprobacion': 1},,signatory,{'True': 1},Barcelona,,,2
215,215,Francisco Murcia de la Llana,"{'': 1, 'Teatro': 4, 'Ficcion': 18, 'Poesia': 14}","{'': 8, '1612-02-08': 1, '1614-05-15': 1, '1604-12-20': 1, '1618-03-13': 1, '1611-04-09': 1, '1615-10-21': 1, '1614-09-20': 1, '1616-12-15': 1, '1613-08-07': 1, '1612-11-02': 1, '1618-06-23': 1, '1614-11-10': 1, '1607-03-07': 1, '1609-03-28': 1, '1617-09-24': 1, '1607-10-16': 1, '1609-11-18': 1, '1618-03-04': 1, '1615-03-20': 1, '1609-02-04': 1, '1612-12-04': 1, '1615-10-13': 1, '1618-04-04': 1, '1615-05-03': 1, '1608-06-25': 1, '1605-04-01': 1}",Ficcion,Persona,1612,"{u'Alcala': 3, '': 8, u'Bruselas': 1, u'Madrid': 22}",{u'Colegio de la Madre de Dios de los Teologos': 1},,"{u'Privilegio/Licencia': 1, u'Fe de erratas': 33}",Poesia,signatory,{'True': 1},Madrid,,,3
221,221,Tomas Tomayo de Vargas,{'Poesia': 2},{'1615-07-18': 1},Poesia,Persona,1615,{u'Toledo': 1},,,{u'Aprobacion': 1},,signatory,{'True': 1},Toledo,,,1
101,101,Pedro de Contreras,"{'Ficcion': 7, 'Poesia': 2}","{'1615-11-21': 1, '1615-03-30': 1, '1616-09-24': 1, '1617-08-09': 1, '1617-06-25': 1, '1615-01-24': 1, '1617-11-26': 1, '1617-01-19': 1}",Ficcion,Persona,1616,"{u'Madrid': 7, u'Arganda del Rey': 1}",{u'Consejo de Castilla': 1},Arganda del Rey,{u'Privilegio/Licencia': 8},Poesia,signatory,{'True': 1},Madrid,,,3
